factor_id,factor_name,factor_group,factor_type,current_status,official_weight,shadow_weight,max_allowed_weight,data_source,output_source,used_in_official_ranking,used_in_risk_gate,used_in_shadow_report,future_leak_risk,future_leak_reason,economic_rationale,mathematical_or_empirical_basis,historical_evidence_level,asof_backtest_ready,walk_forward_ready,live_forward_ready,live_forward_sample_count,pending_forward_sample_count,drawdown_relevance,benchmark_relevance,promotion_verdict,demotion_rule,notes
candidate_report_trust,Candidate Report Trust,DATA_QUALITY,SYSTEM_TRUST_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Protects current outputs from known data, chain, or universe-quality failures.",Operational readiness and trust checks.,OPERATIONAL_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Trust and quality controls are not alpha factors.
current_authoritative_chain_ready,Current Authoritative Chain Ready,DATA_QUALITY,SYSTEM_TRUST_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Protects current outputs from known data, chain, or universe-quality failures.",Operational readiness and trust checks.,OPERATIONAL_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Trust and quality controls are not alpha factors.
daily_trust_level,Daily Trust Level,DATA_QUALITY,SYSTEM_TRUST_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Protects current outputs from known data, chain, or universe-quality failures.",Operational readiness and trust checks.,OPERATIONAL_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Trust and quality controls are not alpha factors.
freshness_eligibility,Freshness Eligibility,DATA_QUALITY,CURRENT_FRESHNESS_GATE,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Prevents stale or non-actionable data from being treated as current.,Current freshness/readiness controls.,OPERATIONAL_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,"Freshness is a gate/control, not an alpha factor."
price_freshness,Price Freshness,DATA_QUALITY,CURRENT_FRESHNESS_GATE,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Prevents stale or non-actionable data from being treated as current.,Current freshness/readiness controls.,OPERATIONAL_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,"Freshness is a gate/control, not an alpha factor."
stale_price_data_flag,Stale Price Data Flag,DATA_QUALITY,CURRENT_FRESHNESS_GATE,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Prevents stale or non-actionable data from being treated as current.,Current freshness/readiness controls.,OPERATIONAL_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,"Freshness is a gate/control, not an alpha factor."
top_full_mismatch_count,Top Full Mismatch Count,DATA_QUALITY,SYSTEM_TRUST_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Protects current outputs from known data, chain, or universe-quality failures.",Operational readiness and trust checks.,OPERATIONAL_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Trust and quality controls are not alpha factors.
validation_fail_count,Validation Fail Count,DATA_QUALITY,SYSTEM_TRUST_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Protects current outputs from known data, chain, or universe-quality failures.",Operational readiness and trust checks.,OPERATIONAL_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Trust and quality controls are not alpha factors.
days_to_earnings,Days To Earnings,EVENT_RISK,EVENT_OR_OVERRIDE_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Controls event-window or discretionary risk not captured by alpha score.,Event calendar or manual override availability.,CURRENT_FILE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Event risk is conservative gate/research inventory only.
earnings_event_risk,Earnings Event Risk,EVENT_RISK,EVENT_OR_OVERRIDE_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Controls event-window or discretionary risk not captured by alpha score.,Event calendar or manual override availability.,CURRENT_FILE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Event risk is conservative gate/research inventory only.
earnings_window_flag,Earnings Window Flag,EVENT_RISK,EVENT_OR_OVERRIDE_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Controls event-window or discretionary risk not captured by alpha score.,Event calendar or manual override availability.,CURRENT_FILE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Event risk is conservative gate/research inventory only.
macro_event_risk,Macro Event Risk,EVENT_RISK,EVENT_OR_OVERRIDE_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Controls event-window or discretionary risk not captured by alpha score.,Event calendar or manual override availability.,CURRENT_FILE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Event risk is conservative gate/research inventory only.
sector_event_exposure,Sector Event Exposure,EVENT_RISK,EVENT_OR_OVERRIDE_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Controls event-window or discretionary risk not captured by alpha score.,Event calendar or manual override availability.,CURRENT_FILE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Event risk is conservative gate/research inventory only.
alpha_after_beta_adjustment,Alpha After Beta Adjustment,FORWARD_ATTRIBUTION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,FALSE,TRUE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
benchmark_excess_return,Benchmark Excess Return,FORWARD_ATTRIBUTION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,FALSE,TRUE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
beta_to_qqq,Beta To Qqq,FORWARD_ATTRIBUTION,FORWARD_VALIDATION_FIELD,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,HIGH,Requires future returns or post-signal outcomes; prohibited from official ranking.,"Measures realized post-signal quality for validation, not prediction at decision time.","Forward return, drawdown, maturity, or beta-adjusted attribution calculation.",FORWARD_VALIDATION_ONLY,FALSE,UNKNOWN,UNKNOWN,0,0,FALSE,TRUE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,High future-leak risk if used in ranking; V18.47A marks official ranking usage FALSE.
manual_event_override,Manual Event Override,MANUAL_FEEDBACK,EVENT_OR_OVERRIDE_CONTROL,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Controls event-window or discretionary risk not captured by alpha score.,Event calendar or manual override availability.,CURRENT_FILE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Event risk is conservative gate/research inventory only.
market_regime,Market Regime,MARKET_REGIME,MARKET_BENCHMARK_OR_REGIME,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Benchmarks and regime indicators contextualize factor performance and market risk.,Market proxy return or regime calculation.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,TRUE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Market/regime inventory only; no official ranking formula change.
qld_return,Qld Return,MARKET_REGIME,MARKET_BENCHMARK_OR_REGIME,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Benchmarks and regime indicators contextualize factor performance and market risk.,Market proxy return or regime calculation.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,TRUE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Market/regime inventory only; no official ranking formula change.
qqq_return,Qqq Return,MARKET_REGIME,MARKET_BENCHMARK_OR_REGIME,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Benchmarks and regime indicators contextualize factor performance and market risk.,Market proxy return or regime calculation.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,TRUE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Market/regime inventory only; no official ranking formula change.
qqq_spy_cash_rotation_return,Qqq Spy Cash Rotation Return,MARKET_REGIME,MARKET_BENCHMARK_OR_REGIME,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Benchmarks and regime indicators contextualize factor performance and market risk.,Market proxy return or regime calculation.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,TRUE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Market/regime inventory only; no official ranking formula change.
spy_return,Spy Return,MARKET_REGIME,MARKET_BENCHMARK_OR_REGIME,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Benchmarks and regime indicators contextualize factor performance and market risk.,Market proxy return or regime calculation.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,TRUE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Market/regime inventory only; no official ranking formula change.
tqqq_cash_200ma_rotation_return,Tqqq Cash 200Ma Rotation Return,MARKET_REGIME,MARKET_BENCHMARK_OR_REGIME,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Benchmarks and regime indicators contextualize factor performance and market risk.,Market proxy return or regime calculation.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,TRUE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Market/regime inventory only; no official ranking formula change.
tqqq_return,Tqqq Return,MARKET_REGIME,MARKET_BENCHMARK_OR_REGIME,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Benchmarks and regime indicators contextualize factor performance and market risk.,Market proxy return or regime calculation.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,TRUE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Market/regime inventory only; no official ranking formula change.
upro_return,Upro Return,MARKET_REGIME,MARKET_BENCHMARK_OR_REGIME,RESEARCH_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Benchmarks and regime indicators contextualize factor performance and market risk.,Market proxy return or regime calculation.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,TRUE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Market/regime inventory only; no official ranking formula change.
vix_risk_flag,Vix Risk Flag,MARKET_REGIME,MARKET_BENCHMARK_OR_REGIME,RISK_GATE_ONLY,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,TRUE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,Benchmarks and regime indicators contextualize factor performance and market risk.,Market proxy return or regime calculation.,CURRENT_SYSTEM_EVIDENCE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,TRUE,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Market/regime inventory only; no official ranking formula change.
atm_iv,Atm Iv,OPTIONS_RISK,OPTIONS_RISK_CONTROL,PLANNED_NOT_IMPLEMENTED,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Options market state may identify volatility, liquidity, and positioning risk.",Options chain or options summary data required.,PLANNED,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Options factors remain non-ranking controls in V18.47A.
expected_move_pct,Expected Move Pct,OPTIONS_RISK,OPTIONS_RISK_CONTROL,PLANNED_NOT_IMPLEMENTED,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Options market state may identify volatility, liquidity, and positioning risk.",Options chain or options summary data required.,PLANNED,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Options factors remain non-ranking controls in V18.47A.
iv_rank,Iv Rank,OPTIONS_RISK,OPTIONS_RISK_CONTROL,PLANNED_NOT_IMPLEMENTED,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Options market state may identify volatility, liquidity, and positioning risk.",Options chain or options summary data required.,PLANNED,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Options factors remain non-ranking controls in V18.47A.
option_liquidity_status,Option Liquidity Status,OPTIONS_RISK,OPTIONS_RISK_CONTROL,PLANNED_NOT_IMPLEMENTED,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Options market state may identify volatility, liquidity, and positioning risk.",Options chain or options summary data required.,PLANNED,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Options factors remain non-ranking controls in V18.47A.
option_volume_abnormal_flag,Option Volume Abnormal Flag,OPTIONS_RISK,OPTIONS_RISK_CONTROL,PLANNED_NOT_IMPLEMENTED,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Options market state may identify volatility, liquidity, and positioning risk.",Options chain or options summary data required.,PLANNED,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Options factors remain non-ranking controls in V18.47A.
options_risk_level,Options Risk Level,OPTIONS_RISK,OPTIONS_RISK_CONTROL,PLANNED_NOT_IMPLEMENTED,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Options market state may identify volatility, liquidity, and positioning risk.",Options chain or options summary data required.,PLANNED,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Options factors remain non-ranking controls in V18.47A.
put_call_ratio,Put Call Ratio,OPTIONS_RISK,OPTIONS_RISK_CONTROL,PLANNED_NOT_IMPLEMENTED,,,,CURRENT_OUTPUTS,READ_ONLY_GOVERNANCE_REGISTRY,FALSE,FALSE,FALSE,LOW,ASOF_AVAILABLE_OR_NON_PREDICTIVE_CONTROL,"Options market state may identify volatility, liquidity, and positioning risk.",Options chain or options summary data required.,PLANNED,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,NOT_PROMOTION_READY,NO_AUTOMATED_DEMOTION_IN_V18_47A,Options factors remain non-ranking controls in V18.47A.
