ticker,company_name,primary_theme,secondary_theme,industry_group,exposure_tags,role_bucket,cyclicality_bucket,volatility_bucket,liquidity_bucket,manual_review_required,notes
RVMD,Revolution Medicines Inc.,HEALTHCARE,Oncology biotechnology,Biotechnology,oncology;biotech,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
XYZ,Block Inc.,FINTECH,Payments and financial software,Payments,payments;square;cash_app,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
WULF,TeraWulf Inc.,CRYPTO_BETA,Bitcoin mining,Crypto Mining,bitcoin_mining;crypto,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
QSR,Restaurant Brands International Inc.,CONSUMER,Restaurants,Restaurants,quick_service;restaurants,NON_CORE,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
XENE,Xenon Pharmaceuticals Inc.,HEALTHCARE,Neurology biotechnology,Biotechnology,neurology;biotech,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TWST,Twist Bioscience Corporation,HEALTHCARE,Synthetic biology,Life Science Tools,synthetic_biology;genomics,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
RIOT,Riot Platforms Inc.,CRYPTO_BETA,Bitcoin mining,Crypto Mining,bitcoin_mining;crypto,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ROKU,Roku Inc.,INTERNET_PLATFORM,Streaming platform,Streaming Media,ctv_ads;streaming,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
UNH,UnitedHealth Group Incorporated,HEALTHCARE,Managed care,Managed Healthcare,managed_care;healthcare_services,DEFENSIVE_HEDGE,DEFENSIVE,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
VIST,Vista Energy S.A.B. de C.V.,ENERGY,Oil and gas exploration,Oil and Gas,upstream_energy;latam,TACTICAL_BETA,COMMODITY_CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
DBVT,DBV Technologies S.A.,HEALTHCARE,Biotechnology,Biotechnology,allergy_immunotherapy;biotech,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,MEDIUM,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
XPO,XPO Inc.,TRANSPORTATION,Freight transportation,Logistics,ltl;freight,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
WLK,Westlake Corporation,INDUSTRIAL,Chemicals and building products,Chemicals,chemicals;vinyls;housing,TACTICAL_BETA,COMMODITY_CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PTON,Peloton Interactive Inc.,CONSUMER,Connected fitness,Leisure Products,fitness;subscription,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PCT,PureCycle Technologies Inc.,INDUSTRIAL,Recycled plastics,Specialty Materials,recycling;plastics,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
UPST,Upstart Holdings Inc.,FINTECH,AI lending platform,Consumer Finance,ai_lending;consumer_credit,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CVNA,Carvana Co.,ECOMMERCE,Online used autos,Online Auto Retail,used_cars;ecommerce;consumer_credit,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
BLTE,Belite Bio Inc.,HEALTHCARE,Biotechnology / ophthalmology drug development,Biotechnology,biotech;ophthalmology;drug_development;clinical_stage,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,MEDIUM,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch.
BYND,Beyond Meat Inc.,CONSUMER,Plant-based food,Packaged Food,plant_based_food;consumer,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
RNG,RingCentral Inc.,SOFTWARE,Cloud communications,Application Software,ucaas;communications_software,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PTGX,Protagonist Therapeutics Inc.,HEALTHCARE,Biotechnology,Biotechnology,biotech;immunology,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
USFD,US Foods Holding Corp.,CONSUMER,Food distribution,Food Distribution,foodservice;distribution,NON_CORE,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SFIX,Stitch Fix Inc.,ECOMMERCE,Online apparel retail,Online Retail,apparel;ecommerce,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
WAB,Westinghouse Air Brake Technologies Corporation,TRANSPORTATION,Rail equipment,Rail Equipment,rail;industrial,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SNPS,Synopsys Inc.,SOFTWARE,Electronic design automation,EDA Software,eda;chip_design,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
VMC,Vulcan Materials Company,INDUSTRIAL,Construction aggregates,Building Materials,aggregates;infrastructure,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PYPL,PayPal Holdings Inc.,FINTECH,Digital payments,Payments,payments;checkout,TACTICAL_BETA,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SHW,Sherwin-Williams Company,CONSUMER,Paint and coatings,Building Products,paint;housing,CORE_GROWTH,CYCLICAL,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
RDDT,Reddit Inc.,INTERNET_PLATFORM,Social platform,Internet Services,social_media;ads;community,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TEVA,Teva Pharmaceutical Industries Limited,HEALTHCARE,Specialty and generic pharmaceuticals,Pharmaceuticals,generic_drugs;specialty_pharma;branded_drugs;healthcare,DEFENSIVE_HEDGE,DEFENSIVE,MEDIUM,HIGH,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch.
SFM,Sprouts Farmers Market Inc.,CONSUMER,Grocery retail,Food Retail,grocery;consumer_staples,DEFENSIVE_HEDGE,DEFENSIVE,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
WWD,Woodward Inc.,INDUSTRIAL,Aerospace and industrial controls,Aerospace Industrial,aerospace;controls,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ECL,Ecolab Inc.,INDUSTRIAL,Water hygiene and services,Specialty Chemicals,water;hygiene;industrial_services,CORE_GROWTH,DEFENSIVE,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
UBER,Uber Technologies Inc.,TRANSPORTATION,Mobility and delivery platform,Rideshare Delivery,rideshare;delivery;logistics,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PINS,Pinterest Inc.,INTERNET_PLATFORM,Social discovery advertising,Internet Services,social_ads;consumer_internet,CYCLICAL_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
VEEV,Veeva Systems Inc.,SOFTWARE,Life sciences cloud software,Application Software,life_sciences_saas;crm,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
COGT,Cogent Biosciences Inc.,HEALTHCARE,Biotechnology / oncology pipeline,Biotechnology,biotech;oncology;clinical_stage,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,MEDIUM,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch.
PCOR,Procore Technologies Inc.,SOFTWARE,Construction management software,Application Software,construction_software;saas,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
QS,QuantumScape Corporation,ENERGY,Solid-state batteries,Battery Technology,battery;ev,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PI,Impinj Inc.,SEMICONDUCTOR,RFID semiconductors,Semiconductors,rfid;iot,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NVAX,Novavax Inc.,HEALTHCARE,Vaccines,Biotechnology,vaccines;biotech,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TTD,The Trade Desk Inc.,SOFTWARE,Adtech platform,Application Software,programmatic_ads;ctv,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
YPF,YPF Sociedad Anonima,ENERGY,Oil and gas,Oil and Gas,upstream_energy;argentina,TACTICAL_BETA,COMMODITY_CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PDD,PDD Holdings Inc.,ECOMMERCE,China e-commerce,Internet Retail,china_ecommerce;marketplace,TACTICAL_BETA,HIGH_BETA_MACRO,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PFGC,Performance Food Group Company,CONSUMER,Food distribution,Food Distribution,foodservice;distribution,NON_CORE,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ZG,Zillow Group Inc.,INTERNET_PLATFORM,Real estate marketplace,Internet Services,real_estate_marketplace;housing,TACTICAL_BETA,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
RSP,Invesco S&P 500 Equal Weight ETF,OTHER,Broad-market equal-weight ETF,ETF,etf;sp500;equal_weight;broad_market,NON_CORE,HIGH_BETA_MACRO,MEDIUM,HIGH,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch. Non-single-stock instrument; exclude or separately bucket in single-stock factor backtests.
Z,Zillow Group Inc.,INTERNET_PLATFORM,Real estate marketplace,Internet Services,real_estate_marketplace;housing,TACTICAL_BETA,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
FCNCA,First Citizens BancShares Inc.,FINTECH,Banking,Banking,bank;credit,TACTICAL_BETA,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AMC,AMC Entertainment Holdings Inc.,CONSUMER,Movie theaters,Entertainment,cinema;meme_beta,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
V,Visa Inc.,FINTECH,Payments network,Payments,card_network;payments,CORE_GROWTH,SECULAR_GROWTH,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TIGR,UP Fintech Holding Limited,FINTECH,Online brokerage,Capital Markets,online_brokerage;china,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
XLF,Financial Select Sector SPDR Fund,FINTECH,Financial sector ETF,ETF,financials_etf,TACTICAL_BETA,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SCCO,Southern Copper Corporation,INDUSTRIAL,Copper mining,Metals,copper;mining;commodity,TACTICAL_BETA,COMMODITY_CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
INSM,Insmed Incorporated,HEALTHCARE,Rare disease biopharma,Biotechnology,biotech;rare_disease;respiratory;drug_development,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch.
TTWO,Take-Two Interactive Software Inc.,CONSUMER,Video games,Gaming,video_games;entertainment,CORE_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SCHW,Charles Schwab Corporation,FINTECH,Brokerage and wealth,Capital Markets,brokerage;wealth;rates,TACTICAL_BETA,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SHOP,Shopify Inc.,ECOMMERCE,Merchant commerce platform,Application Software,ecommerce_enablement;payments,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TLN,Talen Energy Corporation,POWER_INFRASTRUCTURE,Power generation,Independent Power Producer,power_generation;ai_power,CYCLICAL_GROWTH,COMMODITY_CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
HUBB,Hubbell Incorporated,POWER_INFRASTRUCTURE,Electrical and utility products,Electrical Equipment,grid;electrification,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
RTX,RTX Corporation,INDUSTRIAL,Aerospace and defense,Aerospace Defense,defense;aerospace,DEFENSIVE_HEDGE,CYCLICAL,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TEAM,Atlassian Corporation,SOFTWARE,Collaboration and developer software,Application Software,developer_tools;collaboration,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PM,Philip Morris International Inc.,DEFENSIVE,Tobacco,Consumer Staples,tobacco;staples,DEFENSIVE_HEDGE,DEFENSIVE,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
WVE,Wave Life Sciences Ltd.,HEALTHCARE,RNA medicines / biotechnology,Biotechnology,biotech;rna_medicine;genetic_medicine;clinical_stage,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,MEDIUM,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch.
RKT,Rocket Companies Inc.,FINTECH,Mortgage origination,Consumer Finance,mortgage;rates,TACTICAL_BETA,HIGH_BETA_MACRO,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
WHR,Whirlpool Corporation,CONSUMER,Home appliances,Consumer Durables,appliances;housing,TACTICAL_BETA,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
UAL,United Airlines Holdings Inc.,TRANSPORTATION,Airlines,Airlines,airline;travel,TACTICAL_BETA,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PSIX,Power Solutions International Inc.,POWER_INFRASTRUCTURE,Fuel-agnostic power systems and engines,Power Systems,power_systems;engines;industrial;alternative_fuels,TACTICAL_BETA,CYCLICAL,HIGH,MEDIUM,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch.
PATH,UiPath Inc.,SOFTWARE,Automation software,Application Software,rpa;automation,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
HOOD,Robinhood Markets Inc.,FINTECH,Brokerage and crypto trading,Capital Markets,brokerage;crypto;retail_trading,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PGNY,Progyny Inc.,HEALTHCARE,Fertility benefits,Healthcare Services,fertility;benefits,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
WDAY,Workday Inc.,SOFTWARE,Human capital and finance software,Application Software,hcm;finance_saas,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SE,Sea Limited,INTERNET_PLATFORM,"Gaming, e-commerce and fintech",Internet Services,gaming;ecommerce;fintech,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
OKTA,Okta Inc.,CYBERSECURITY,Identity security,Cybersecurity Software,identity;zero_trust,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
RERE,ATRenew Inc.,ECOMMERCE,China pre-owned consumer electronics platform,Internet Retail,china;recommerce;consumer_electronics;internet_retail,SPECULATIVE_SATELLITE,CYCLICAL,HIGH,MEDIUM,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch.
RH,RH,CONSUMER,Luxury home furnishings,Specialty Retail,furniture;housing,TACTICAL_BETA,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
WING,Wingstop Inc.,CONSUMER,Restaurants,Restaurants,quick_service;restaurants,CORE_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
OPCH,Option Care Health Inc.,HEALTHCARE,Home infusion services,Healthcare Services,home_infusion;healthcare_services,CYCLICAL_GROWTH,DEFENSIVE,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
STG,Sunlands Technology Group,CONSUMER,China online education,Education Services,china;online_education;consumer_services,SPECULATIVE_SATELLITE,CYCLICAL,EXTREME,LOW,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch.
RBLX,Roblox Corporation,INTERNET_PLATFORM,Gaming and user-generated content platform,Interactive Entertainment,gaming;ugc;metaverse;internet_platform,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch.
SPOT,Spotify Technology S.A.,INTERNET_PLATFORM,Audio streaming,Streaming Media,music_streaming;ads,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
OLMA,Olema Pharmaceuticals Inc.,HEALTHCARE,Women's oncology biotechnology,Biotechnology,biotech;oncology;womens_health;clinical_stage,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,MEDIUM,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch.
VST,Vistra Corp.,POWER_INFRASTRUCTURE,Power generation,Independent Power Producer,power_generation;ai_power,CORE_GROWTH,COMMODITY_CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ETR,Entergy Corporation,DEFENSIVE,Regulated utility,Electric Utilities,utility;power,DEFENSIVE_HEDGE,DEFENSIVE,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
APH,Amphenol Corporation,ELECTRONICS_SUPPLY_CHAIN,Connectors and interconnect,Electronic Components,connectors;industrial_electronics,CORE_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
META,Meta Platforms Inc.,INTERNET_PLATFORM,Social platform and AI,Internet Services,social_ads;ai;metaverse,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ACM,AECOM,INDUSTRIAL,Infrastructure engineering,Engineering Services,infrastructure;engineering,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
BALL,Ball Corporation,CONSUMER,Packaging,Packaging,beverage_cans;packaging,NON_CORE,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SPY,SPDR S&P 500 ETF Trust,DEFENSIVE,Broad market ETF,ETF,sp500;market_beta,DEFENSIVE_HEDGE,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NU,Nu Holdings Ltd.,FINTECH,Digital banking,Digital Banking,latam_fintech;digital_bank,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MSFT,Microsoft Corporation,SOFTWARE,Cloud and software,Software,azure;ai;productivity,CORE_GROWTH,SECULAR_GROWTH,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MCK,McKesson Corporation,HEALTHCARE,Drug distribution,Healthcare Distribution,pharma_distribution;healthcare_services,DEFENSIVE_HEDGE,DEFENSIVE,LOW,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ETN,Eaton Corporation plc,POWER_INFRASTRUCTURE,Electrical equipment,Electrical Equipment,electrification;grid;datacenter_power,CORE_GROWTH,SECULAR_GROWTH,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TSLA,Tesla Inc.,CONSUMER,Electric vehicles and energy,Automobiles,ev;autonomy;energy_storage,TACTICAL_BETA,HIGH_BETA_MACRO,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
