ticker,recommendation_type,priority,reason,known_tier,known_score
CHYM,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
CHYM,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
COG,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
COGT,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
CRCL,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
CVNA,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
DBVT,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
FCNCA,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
FIGR,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
GEMI,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
HOOD,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
HTZ,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
INSM,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
JBS,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
JFROG,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
KLAR,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
LINE,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
LINE,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
MNTN,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
MNTN,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
MPW,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
MPW,EMPTY_FETCH_OR_HOLD_REVIEW,HIGH,Staged status requires review: HOLD_EMPTY_FETCH,TIER_0_DATA_NOT_READY,
MPW,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
NVAX,NEEDS_OFFICIAL_INTEGRATION,HIGH,Staged evidence exists but official price cache is unavailable.,TIER_0_DATA_NOT_READY,
NVAX,EMPTY_FETCH_OR_HOLD_REVIEW,HIGH,Staged status requires review: HOLD_SUSPICIOUS_PRICE_DATA,TIER_0_DATA_NOT_READY,
NVAX,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
OKTA,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
OLMA,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
OLPX,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
OPCH,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PATH,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PCOR,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PCT,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PDD,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PFGC,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PGNY,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PI,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PINS,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PLUG,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PM,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PONY,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PSIX,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PTGX,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PTON,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PUMP,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
PYPL,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
QS,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
QSR,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
RBLX,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
RDDT,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
RERE,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
RH,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
RIOT,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
RKT,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
RNG,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
ROKU,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
RSP,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
RTX,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
RVMD,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SATS,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SCCO,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SCHW,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SE,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SEI,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SFIX,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SFM,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SHOP,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SHW,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SITM,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SMTC,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SNPS,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SOLS,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
SPOT,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
STG,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
STM,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
STUB,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
TEAM,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
TEVA,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
TICKERS,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
TIGR,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
TLN,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
TSEM,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
TTD,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
TTMI,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
TTWO,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
TWLO,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
TWST,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
U,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
UAL,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
UBER,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
UNH,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
UPST,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
USFD,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
V,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
VEEV,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
VIAV,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
VIST,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
VMC,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
WAB,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
WDAY,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
WHR,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
WING,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
WLK,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
WOLF,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
WULF,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
WVE,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
WWD,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
WYFI,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
XENE,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
XLF,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
XPO,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
XYZ,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
YPF,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
Z,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
ZG,PARTIAL_HISTORY,MEDIUM,History is partial or full-history readiness is not confirmed.,TIER_0_DATA_NOT_READY,
