script_path,script_type,matched_terms,likely_role,proxy_requirement_detected,exact_reference_lines_or_short_snippets,confidence
D:\us-tech-quant\scripts\v18\v18_21A_R3_ticker_price_source_mapping_patch.py,unknown,"market_regime, qqq, spy, vix",Script references proxy/timing terms but role is unclear,TRUE,"62:""SCORE_READY_RATIO"", ""QQQ_PROXY_STATUS"", ""SPY_PROXY_STATUS"", ""VIX_PROXY_STATUS"", ""VIX_MISSING_CAP_APPLIED"", | 63:""MARKET_REGIME_STATUS"", ""MARKET_REGIME_LABEL"", ""MARKET_RISK_COEFFICIENT"", ""MARKET_REGIME_CONFIDENCE"", | 275:f""- QQQ: {metrics['QQQ_PROXY_STATUS']}; SPY: {metrics['SPY_PROXY_STATUS']}; VIX: {metrics['VIX_PROXY_STATUS']}; coefficient: {metrics['MARKET_RISK_COEFFICIENT']}."", """",",HIGH
D:\us-tech-quant\scripts\v18\v18_21A_R4_stable_snapshot.py,unknown,"market_regime, vix",Script references proxy/timing terms but role is unclear,TRUE,"49:""outputs/v18/market_regime/V18_21A_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv"", | 55:""outputs/v18/market_regime/V18_21A_R1_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv"", | 61:""outputs/v18/market_regime/V18_21A_R2_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21B_R1_signal_snapshot_quality_patch.py,unknown,"market_regime, vix",Script references proxy/timing terms but role is unclear,TRUE,"113:market = present(row.get(""market_regime_label"")) and present(row.get(""market_risk_coefficient"")) | 137:""market_regime_available"": str(market).upper(), | 147:missing_market = not present(row.get(""market_regime_label"")) or not present(row.get(""market_risk_coefficient""))",HIGH
D:\us-tech-quant\scripts\v18\v18_21B_R1_stable_snapshot.py,unknown,market_regime,Script references proxy/timing terms but role is unclear,TRUE,"97:""MARKET_REGIME_STATUS"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21B_signal_snapshot_research_linker.py,unknown,"market_regime, vix, volatility",Script references proxy/timing terms but role is unclear,TRUE,"61:""volatility_risk_score"", | 62:""market_regime_label"", | 64:""market_regime_confidence"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21C_factor_effectiveness_read_center.py,factor,"market_regime, volatility",Factor generator or factor-adjacent consumer,TRUE,"75:""volatility_risk_score"": ""volatility_risk_score"", | 86:""MARKET_REGIME_USABLE_SAMPLE_COUNT"": [""market_risk_coefficient""], | 111:""MARKET_REGIME_USABLE_SAMPLE_COUNT"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21C_R1_sample_maturity_forward_match_patch.py,unknown,"market_regime, volatility",Script references proxy/timing terms but role is unclear,TRUE,"77:""volatility_risk_score"", | 88:(""MARKET_REGIME_EFFECTIVENESS"", ""market_risk_coefficient""),",HIGH
D:\us-tech-quant\scripts\v18\v18_21D_R1_controlled_forward_tracker_link_key_application.py,unknown,qqq,Script references proxy/timing terms but role is unclear,TRUE,"119:root / ""state/v18/price_cache/QQQ.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21E_event_risk_coefficient_engine.py,risk,"market_regime, qqq, spy",Risk/regime consumer or reporter,TRUE,"59:MARKET_REGIME_PATH = ""outputs/v18/market_regime/V18_21A_R2_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv"" | 568:MARKET_REGIME_PATH, | 572:""state/v18/price_cache/QQQ.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21E_R1_hard_lock_overlay_semantics_patch.py,unknown,"market_regime, qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"273:base.MARKET_REGIME_PATH, | 277:""state/v18/price_cache/QQQ.csv"", | 278:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21F_unified_research_chain_read_center.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"153:""state/v18/price_cache/QQQ.csv"", | 154:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21G_controlled_forward_outcome_filler_design.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"388:""state/v18/price_cache/QQQ.csv"", | 389:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21H_full_history_backfill_design.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"185:""state/v18/price_cache/QQQ.csv"", | 186:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21H_R1_controlled_staged_backfill_batch1_design.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"191:""state/v18/price_cache/QQQ.csv"", | 192:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21H_R1_stable_snapshot.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"316:""state/v18/price_cache/QQQ.csv"", | 317:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21H_stable_snapshot.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"276:""state/v18/price_cache/QQQ.csv"", | 277:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21I_stable_snapshot.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"309:""state/v18/price_cache/QQQ.csv"", | 310:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21I_unified_backtest_research_design.py,unknown,"market_regime, qqq, spy, volatility",Script references proxy/timing terms but role is unclear,TRUE,"221:""state/v18/price_cache/QQQ.csv"", | 222:""state/v18/price_cache/SPY.csv"", | 356:(""volatility_risk_score"", ""price_derived_factors"", ""V18.21A-R4"", ""V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv"", ""TRUE"", ""TRUE"", ""TRUE"", ""MEDIUM"", ""known_at_snapshot_date"", ""Factor exposure.""),",HIGH
D:\us-tech-quant\scripts\v18\v18_22A_research_command_center.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"205:""state/v18/price_cache/QQQ.csv"", | 206:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_22A_stable_snapshot.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"315:""state/v18/price_cache/QQQ.csv"", | 316:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_22B_daily_research_command_center_wrapper.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"184:""state/v18/price_cache/QQQ.csv"", | 185:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_22B_stable_snapshot.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"326:""state/v18/price_cache/QQQ.csv"", | 327:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_22C_research_packet_writer.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"194:""state/v18/price_cache/QQQ.csv"", | 195:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_22C_stable_snapshot.py,unknown,"qqq, spy",Script references proxy/timing terms but role is unclear,TRUE,"544:""state/v18/price_cache/QQQ.csv"", | 545:""state/v18/price_cache/SPY.csv"",",HIGH
D:\us-tech-quant\scripts\v18\v18_25A_R4_integrated_tickers_factor_technical_refresh_readiness_audit.py,factor,"qqq, spy, vix",Factor generator or factor-adjacent consumer,TRUE,"357:for proxy in (""QQQ"", ""SPY"", ""VIX""):",HIGH
D:\us-tech-quant\scripts\v18\v18_25A_R5_targeted_technical_timing_refresh_dryrun.py,technical,"vix, vix_regime",Technical timing generator or consumer,TRUE,"101:""vix_date"", | 102:""vix_close"", | 103:""vix_regime"",",HIGH
D:\us-tech-quant\scripts\v18\v18_25A_R6_market_proxy_source_trace_policy_audit.py,unknown,"^vix, cboe, ixic, market_regime, ndx, qqq, risk_regime, spy, vix, vix_regime, vixy",Script references proxy/timing terms but role is unclear,TRUE,"49:""TECHNICAL_VIX_OVERLAY_REQUIRED"", | 50:""TECHNICAL_VIX_LOCAL_AVAILABLE"", | 115:""technical_vix_overlay_required"",",HIGH
D:\us-tech-quant\scripts\v18\v18_25A_R7_local_market_proxy_coverage_repair_audit.py,unknown,"^vix, cboe, fear, ixic, market_regime, ndx, qqq, risk_regime, spy, uvxy, vix, vix_regime, vixy, vol_regime, volatility, vx, vxx",Script references proxy/timing terms but role is unclear,TRUE,"27:DISCOVERY_OUT = OUT_DIR / ""V18_25A_R7_CURRENT_LOCAL_VIX_DISCOVERY.csv"" | 29:VIX_SPEC_OUT = OUT_DIR / ""V18_25A_R7_CURRENT_VIX_REQUIREMENT_SPEC.csv"" | 51:""vix"",",HIGH
D:\us-tech-quant\scripts\v18\v18_3D_factor_pack_shadow_extension.py,factor,volatility,Factor generator or factor-adjacent consumer,FALSE,"285:""ann_volatility_20d"": ann_vol20, | 322:df[""volatility_penalty""] = pct_rank_high_good(df[""ann_volatility_20d""]) * 100 | 344:- 0.08 * df[""volatility_penalty""].fillna(50.0)",MEDIUM
D:\us-tech-quant\scripts\v18\v18_4H_factor_rolling_backtest.py,factor,qqq,Factor generator or factor-adjacent consumer,TRUE,"376:lines.append(f""- BENCHMARK: `QQQ`"") | 396:lines.append(""| rank | factor | CAGR | Sharpe | Max DD | Excess CAGR vs QQQ | Avg Turnover |"") | 464:tickers_to_download = sorted(set(universe + [""QQQ""]))",HIGH
D:\us-tech-quant\scripts\v18\v18_4H_R1_factor_robustness_audit.py,factor,qqq,Factor generator or factor-adjacent consumer,TRUE,"52:tickers_to_download = sorted(set(universe + [""QQQ""])) | 88:qqq_ret = None | 89:if ""QQQ"" in close_all.columns:",HIGH
D:\us-tech-quant\scripts\v18\v18_6A_technical_timing_shadow.py,technical,"^vix, vix, vix_regime",Technical timing generator or consumer,TRUE,"213:def vix_regime(v): | 215:return ""VIX_UNKNOWN"" | 217:return ""VIX_PANIC_BLOCK_LEVERAGE""",HIGH
D:\us-tech-quant\scripts\v18\v18_6B_R1_technical_timing_diagnostic_patch.py,technical,"qqq, spy",Technical timing generator or consumer,TRUE,"88:def add_benchmark_excess(df: pd.DataFrame, benchmarks=(""QQQ"", ""SPY"", ""SMH""), horizons=(1, 3, 5, 10, 20)): | 115:def summarize_signal(df, signal_col, label, horizons=(1, 3, 5, 10, 20), benchmarks=(""QQQ"", ""SPY"", ""SMH"")): | 143:def topn_excess_strategy(df, topn_list=(5, 10, 15), hold_days_list=(3, 5, 10, 20), cost_bps=20.0, benchmarks=(""QQQ"", ""SPY"", ""SMH"")):",HIGH
D:\us-tech-quant\scripts\v18\v18_6C_technical_timing_forward_tracker.py,technical,"vix, vix_regime",Technical timing generator or consumer,TRUE,"117:""vix_date"", | 118:""vix_close"", | 119:""vix_regime"",",HIGH
D:\us-tech-quant\scripts\v18\v18_6D_technical_timing_read_center.py,technical,"qqq, spy, vix, vix_regime, volatility",Technical timing generator or consumer,TRUE,"62:""vix_close"", | 187:""avg_excess_vs_QQQ"", | 188:""avg_excess_vs_SPY"",",HIGH
D:\us-tech-quant\scripts\v18\v18_6E_final_read_center_with_technical.py,technical,"qqq, spy, vix, vix_regime",Technical timing generator or consumer,TRUE,"127:""vix_close"", | 149:vix_close = np.nan | 150:vix_regime = ""VIX_UNKNOWN""",HIGH
D:\us-tech-quant\scripts\v18\v18_8B_current_simulation_cabin.py,unknown,"vix, vix_regime",Script references proxy/timing terms but role is unclear,TRUE,"334:vix_regime = extract_field(all_text, ""VIX_REGIME"") | 458:""vix_regime"", | 476:""vix_regime"": vix_regime,",HIGH
D:\us-tech-quant\scripts\v18\v18_9A_simulation_candidate_tracker.py,unknown,"vix, vix_regime",Script references proxy/timing terms but role is unclear,TRUE,"271:vix_regime = extract_field(status_text, ""VIX_REGIME"") | 297:""vix_regime"", | 352:""vix_regime"": vix_regime,",HIGH
